window,algorithm,trial,timesteps,learning_rate,seed,train_time_sec,cumulative_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,n_trading_days,mean_daily_turnover
1,DQN,1,250000,0.0037618615608508,12370,92.6,95.82,18.35,14.92,1.2298,1.6584,-17.68,1.0383,56.72,1005,0.0684
1,DQN,2,1000000,0.0059350831981977,32060,375.9,85.78,16.8,18.26,0.9202,1.2484,-28.4,0.5916,55.32,1005,0.2126
1,DQN,3,250000,0.0024050820823661,779385,94.6,111.14,20.61,14.72,1.4004,1.8874,-16.37,1.2592,56.72,1005,0.0334
1,DQN,4,500000,0.0008938649414367,656165,188.4,30.79,6.96,15.81,0.4404,0.5889,-26.34,0.2643,55.12,1005,0.4637
1,DQN,5,500000,0.0001017012352403,657060,187.8,52.56,11.17,15.49,0.7214,0.9389,-22.97,0.4864,54.53,1005,0.2534
1,DQN,6,500000,0.000267766483989,444819,196.7,95.77,18.35,15.09,1.2161,1.6426,-21.77,0.8428,56.62,1005,0.1359
1,DQN,7,250000,0.0008054854557309,571638,98.3,35.76,7.97,17.91,0.4448,0.6056,-33.04,0.2411,54.13,1005,0.5641
1,DQN,8,500000,0.0024707423339238,629248,199.4,81.26,16.08,16.54,0.9726,1.2878,-19.41,0.8286,55.92,1005,0.2037
1,DQN,9,1000000,0.0008812150724633,4809,370.6,55.67,11.74,17.66,0.6645,0.9013,-25.78,0.4552,54.23,1005,0.4212
1,DQN,10,250000,5.614566852710059e-05,758901,93.2,105.83,19.84,14.82,1.3385,1.8168,-16.09,1.2335,56.42,1005,0.0732
1,DQN,11,250000,7.309450249492124e-05,683535,91.3,85.06,16.69,15.38,1.0853,1.4233,-20.84,0.8006,56.12,1005,0.1456
1,DQN,12,250000,2.3607792589382017e-05,103306,90.4,58.37,12.22,15.8,0.7736,1.0217,-22.98,0.5318,54.93,1005,0.2389
1,DQN,13,500000,0.0012230198324313,601119,178.3,4.72,1.16,17.54,0.0663,0.0875,-31.96,0.0364,53.43,1005,0.65
1,DQN,14,500000,0.0001545272967581,15500,180.8,47.82,10.3,15.99,0.6438,0.8501,-24.52,0.4198,55.02,1005,0.2679
1,DQN,15,500000,1.4094709068431631e-05,247261,179.9,79.63,15.82,16.05,0.9854,1.289,-19.67,0.8043,55.52,1005,0.0648
1,PPO,1,1000000,2.023915842697837e-05,167326,305.8,112.36,20.78,15.92,1.3053,1.6845,-18.59,1.1183,57.31,1005,0.0198
1,PPO,2,500000,0.0039594592217094,398214,153.3,110.57,20.53,15.73,1.3049,1.6979,-17.1,1.2003,57.81,1005,0.0008
1,PPO,3,1000000,0.0005896299363572,142278,305.7,119.15,21.74,15.86,1.3709,1.7569,-19.04,1.1419,56.82,1005,0.0214
1,PPO,4,250000,0.0031893005985675,303316,77.5,115.03,21.16,15.25,1.3881,1.7919,-16.53,1.2801,58.91,1005,0.0007
1,PPO,5,500000,0.0016307716812267,375076,153.3,115.99,21.3,15.77,1.3503,1.7364,-17.79,1.1972,57.41,1005,0.0006
1,PPO,6,250000,0.0031067917002359,204592,77.7,113.56,20.96,15.98,1.3115,1.7037,-19.94,1.0508,57.51,1005,0.0007
1,PPO,7,250000,5.887858521275791e-05,505077,77.7,114.52,21.09,15.98,1.3196,1.6987,-20.02,1.0537,57.01,1005,0.0382
1,PPO,8,500000,5.6450722692315256e-05,222033,154.2,107.2,20.04,16.27,1.2317,1.6033,-21.1,0.95,56.72,1005,0.0381
1,PPO,9,1000000,3.894237154936903e-05,574180,301.3,105.94,19.86,15.97,1.2433,1.6145,-19.32,1.0276,56.22,1005,0.0588
1,PPO,10,1000000,0.0081319873409217,561149,307.2,125.99,22.68,16.57,1.3691,1.7837,-20.87,1.0868,57.61,1005,0.0006
1,PPO,11,500000,1.2950918880145972e-05,970844,157.1,117.29,21.48,16.22,1.324,1.7124,-19.56,1.0982,57.21,1005,0.0061
1,PPO,12,1000000,0.0017658852984562,786304,300.6,119.32,21.76,16.01,1.3598,1.7742,-20.34,1.0701,56.32,1005,0.0007
1,PPO,13,1000000,0.0016518162853921,966064,308.8,130.05,23.23,15.88,1.4631,1.8789,-18.57,1.251,56.82,1005,0.0006
1,PPO,14,1000000,2.1323319799339224e-05,659299,314.7,109.62,20.39,16.17,1.2612,1.6365,-20.34,1.0024,57.11,1005,0.0211
1,PPO,15,1000000,6.09899999735291e-05,163487,312.4,109.85,20.43,15.95,1.2804,1.6657,-17.93,1.1391,57.01,1005,0.0848
2,DQN,1,500000,0.0042816678099337,454003,186.4,80.78,16.02,18.57,0.8626,1.1287,-20.42,0.7846,55.88,1004,0.0016
2,DQN,2,1000000,0.0004207665211412,178454,388.4,8.31,2.02,19.15,0.1057,0.1384,-32.26,0.0628,54.48,1004,0.441
2,DQN,3,1000000,0.0009750877127694,898512,371.0,14.36,3.42,19.59,0.1749,0.2344,-31.73,0.1079,53.78,1004,0.3586
2,DQN,4,1000000,1.5542829226184735e-05,615042,390.2,40.79,8.97,17.45,0.5138,0.6783,-23.13,0.3876,54.68,1004,0.1449
2,DQN,5,500000,0.0010457510536591,792514,195.3,24.73,5.7,18.57,0.307,0.4036,-24.31,0.2346,53.98,1004,0.383
2,DQN,6,500000,9.44561452105976e-05,373700,190.9,50.46,10.8,19.31,0.5592,0.7359,-23.65,0.4566,55.68,1004,0.2597
2,DQN,7,500000,3.431455106981302e-05,476017,202.2,48.25,10.39,20.2,0.5141,0.6818,-24.87,0.4177,55.48,1004,0.3087
2,DQN,8,500000,0.0012269094337937,972549,194.4,31.33,7.08,17.25,0.4104,0.5371,-27.36,0.2587,52.99,1004,0.1658
2,DQN,9,250000,4.894618217269636e-05,329553,98.2,16.16,3.83,18.17,0.2108,0.2822,-24.9,0.1539,53.39,1004,0.3272
2,DQN,10,1000000,1.3831244152570437e-05,312942,387.0,17.09,4.04,19.81,0.2039,0.2778,-29.03,0.1391,53.49,1004,0.1653
2,DQN,11,250000,1.949310724184777e-05,522167,98.9,28.56,6.51,18.76,0.347,0.4561,-27.43,0.2373,55.18,1004,0.1819
2,DQN,12,1000000,0.0035797288184703,306225,395.2,37.38,8.3,18.94,0.4381,0.5894,-31.24,0.2656,53.39,1004,0.0988
2,DQN,13,1000000,0.0055275350710725,197208,389.3,71.3,14.46,18.02,0.8027,1.0353,-23.31,0.6204,55.58,1004,0.0
2,DQN,14,1000000,7.327768538279651e-05,366880,379.1,29.93,6.79,18.36,0.37,0.4919,-22.98,0.2956,54.08,1004,0.2751
2,DQN,15,500000,1.5860084045321406e-05,590847,191.2,38.08,8.44,17.49,0.4824,0.6312,-24.86,0.3394,55.18,1004,0.1447
2,PPO,1,500000,0.0001571248126885,838457,166.6,67.1,13.75,18.18,0.7567,0.9757,-23.62,0.5823,56.08,1004,0.0881
2,PPO,2,500000,0.0007483777249842,314160,157.6,65.44,13.47,18.02,0.7475,0.9592,-24.94,0.54,55.98,1004,0.0163
2,PPO,3,1000000,0.0004651252153946,361519,313.0,59.21,12.38,18.66,0.6634,0.8568,-25.82,0.4795,55.38,1004,0.05
