window,algorithm,trial,timesteps,learning_rate,seed,train_time_sec,cumulative_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,n_trading_days,mean_daily_turnover
2,DQN,1,500000,0.004281667809933799,454003,186.4,80.78,16.02,18.57,0.8626,1.1287,-20.42,0.7846,55.88,1004,0.0016
2,DQN,2,1000000,0.00042076652114121334,178454,388.4,8.31,2.02,19.15,0.1057,0.1384,-32.26,0.0628,54.48,1004,0.441
2,DQN,3,1000000,0.000975087712769472,898512,371.0,14.36,3.42,19.59,0.1749,0.2344,-31.73,0.1079,53.78,1004,0.3586
2,DQN,4,1000000,1.5542829226184735e-05,615042,390.2,40.79,8.97,17.45,0.5138,0.6783,-23.13,0.3876,54.68,1004,0.1449
2,DQN,5,500000,0.001045751053659102,792514,195.3,24.73,5.7,18.57,0.307,0.4036,-24.31,0.2346,53.98,1004,0.383
2,DQN,6,500000,9.44561452105976e-05,373700,190.9,50.46,10.8,19.31,0.5592,0.7359,-23.65,0.4566,55.68,1004,0.2597
2,DQN,7,500000,3.431455106981302e-05,476017,202.2,48.25,10.39,20.2,0.5141,0.6818,-24.87,0.4177,55.48,1004,0.3087
2,DQN,8,500000,0.001226909433793785,972549,194.4,31.33,7.08,17.25,0.4104,0.5371,-27.36,0.2587,52.99,1004,0.1658
2,DQN,9,250000,4.894618217269636e-05,329553,98.2,16.16,3.83,18.17,0.2108,0.2822,-24.9,0.1539,53.39,1004,0.3272
2,DQN,10,1000000,1.3831244152570437e-05,312942,387.0,17.09,4.04,19.81,0.2039,0.2778,-29.03,0.1391,53.49,1004,0.1653
2,DQN,11,250000,1.949310724184777e-05,522167,98.9,28.56,6.51,18.76,0.347,0.4561,-27.43,0.2373,55.18,1004,0.1819
2,DQN,12,1000000,0.0035797288184703656,306225,395.2,37.38,8.3,18.94,0.4381,0.5894,-31.24,0.2656,53.39,1004,0.0988
2,DQN,13,1000000,0.005527535071072568,197208,389.3,71.3,14.46,18.02,0.8027,1.0353,-23.31,0.6204,55.58,1004,0.0
2,DQN,14,1000000,7.327768538279651e-05,366880,379.1,29.93,6.79,18.36,0.37,0.4919,-22.98,0.2956,54.08,1004,0.2751
2,DQN,15,500000,1.5860084045321406e-05,590847,191.2,38.08,8.44,17.49,0.4824,0.6312,-24.86,0.3394,55.18,1004,0.1447
