window,algorithm,trial,timesteps,learning_rate,seed,train_time_sec,cumulative_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,n_trading_days,mean_daily_turnover
5,PPO,1,500000,0.0083876396226086,501018,153.2,158.08,26.81,26.98,0.9935,1.2294,-32.16,0.8337,56.06,1006,0.0008
5,PPO,2,250000,0.0037540683605794,744432,74.8,152.53,26.12,26.02,1.0036,1.2529,-33.75,0.7739,55.17,1006,0.0008
5,PPO,3,250000,6.078454674508333e-05,615641,75.3,172.65,28.56,26.65,1.0716,1.3356,-33.01,0.8654,55.27,1006,0.0203
5,PPO,4,250000,0.0004285836029269,147038,76.2,142.0,24.78,26.45,0.9368,1.1592,-32.94,0.7522,55.07,1006,0.0771
5,PPO,5,250000,1.01780732255038e-05,347564,75.8,167.37,27.94,26.59,1.0508,1.3037,-32.89,0.8493,55.86,1006,0.0032
5,PPO,6,250000,4.545003194416343e-05,327429,76.9,160.05,27.05,26.14,1.0346,1.2835,-32.66,0.8281,55.47,1006,0.0276
5,PPO,7,500000,1.2685737794271704e-05,918358,151.5,161.06,27.17,26.34,1.0317,1.2783,-32.56,0.8345,55.07,1006,0.005
5,PPO,8,500000,0.0010398373937997,262256,154.3,161.63,27.24,26.41,1.0313,1.2902,-33.1,0.8231,54.57,1006,0.0005
5,PPO,9,250000,7.15201223042893e-05,11336,76.2,150.12,25.82,26.53,0.9731,1.2128,-33.41,0.7728,55.07,1006,0.0295
5,PPO,10,250000,0.0028288783230857,813630,76.1,189.34,30.49,25.88,1.178,1.4564,-31.97,0.9537,56.36,1006,0.0007
5,PPO,11,250000,0.0058786571518285,714296,74.8,184.61,29.95,26.99,1.1097,1.3833,-33.05,0.9062,56.66,1006,0.0008
5,PPO,12,1000000,0.0053638754711512,301,300.5,176.05,28.96,26.0,1.114,1.3563,-33.41,0.8669,56.06,1006,0.0006
5,PPO,13,500000,0.0001880440882768,714661,151.3,131.28,23.37,25.98,0.8998,1.1156,-34.48,0.6779,54.08,1006,0.1164
5,PPO,14,1000000,2.844718456241788e-05,411028,300.2,157.54,26.74,26.28,1.0174,1.2767,-31.82,0.8403,55.37,1006,0.0396
5,PPO,15,1000000,0.0006552573032013,179057,300.5,178.74,29.28,26.12,1.1209,1.371,-32.45,0.9023,56.96,1006,0.0139
