,mean,std
adj_prc,36.2005359766553,39.16219530122683
log_vol,14.924102246242288,1.5283897539209588
RET,0.0007870552551479082,0.0305885992089501
mkt_cap,29710273481.956112,71431104321.79468
RSI,52.117721106054326,16.762642049850303
MACD,0.07758061049375914,1.680000326957936
BB_PCT,0.5344586893731648,0.3242740187868448
ATR,14.304731293386812,37.45000311737326
rolling_vol_60,0.02649985913510189,0.015615299696636744
SMA_20,36.10140076388876,38.98155831844632
SMA_50,35.931184667017014,38.674691676110456
BIDLO,44.9034812512638,45.17226916895866
ASKHI,46.308951845083925,46.40429714636316
OPENPRC,45.61917968849979,45.81540549175887
vix_index,19.75477270241503,8.499111889409821
